Number \ Keywords \ Quantity \ Percentage
# first keyboard line
29 \ TRE \ 9 \ 1.9847045436502686e-05
30 \ iuy \ 9 \ 1.9847045436502686e-05
31 \ qwertyu \ 9 \ 1.9847045436502686e-05
32 \ yui \ 8 \ 1.7641818165780164e-05
33 \ ytrewq \ 7 \ 1.5436590895057645e-05
34 \ wertyu \ 7 \ 1.5436590895057645e-05
35 \ WER \ 6 \ 1.3231363624335125e-05
36 \ poiuy \ 6 \ 1.3231363624335125e-05
37 \ QWERTY \ 5 \ 1.1026136353612604e-05
38 \ QWER \ 5 \ 1.1026136353612604e-05
39 \ trew \ 5 \ 1.1026136353612604e-05
40 \ uiop \ 5 \ 1.1026136353612604e-05
41 \ REW \ 4 \ 8.820909082890082e-06
42 \ poiuytrewq \ 4 \ 8.820909082890082e-06
43 \ trewq \ 4 \ 8.820909082890082e-06
44 \ tyui \ 4 \ 8.820909082890082e-06
45 \ POI \ 3 \ 6.615681812167562e-06
46 \ ERTY \ 3 \ 6.615681812167562e-06
47 \ oiuy \ 3 \ 6.615681812167562e-06
48 \ qwertyuio \ 3 \ 6.615681812167562e-06
49 \ QWERT \ 2 \ 4.410454541445041e-06
50 \ TYU \ 2 \ 4.410454541445041e-06
51 \ RTY \ 2 \ 4.410454541445041e-06
52 \ uytr \ 2 \ 4.410454541445041e-06
53 \ yuio \ 2 \ 4.410454541445041e-06
54 \ YTR \ 1 \ 2.2052272707225205e-06
55 \ POIUYTR \ 1 \ 2.2052272707225205e-06
56 \ REWQ \ 1 \ 2.2052272707225205e-06
57 \ QWERTYUIOP \ 1 \ 2.2052272707225205e-06
58 \ poiuytr \ 1 \ 2.2052272707225205e-06
59 \ iuytrewq \ 1 \ 2.2052272707225205e-06
60 \ uytrewq \ 1 \ 2.2052272707225205e-06
61 \ oiuytrewq \ 1 \ 2.2052272707225205e-06
62 \ poiuytre \ 1 \ 2.2052272707225205e-06
63 \ oiuyt \ 1 \ 2.2052272707225205e-06
64 \ yuiop \ 1 \ 2.2052272707225205e-06
65 \ tyuio \ 1 \ 2.2052272707225205e-06
66 \ rtyu \ 1 \ 2.2052272707225205e-06
67 \ ertyuiop \ 1 \ 2.2052272707225205e-06
68 \ op[] \ 1 \ 2.2052272707225205e-06
69 \ tyuiop \ 1 \ 2.2052272707225205e-06
70 \ rtyuiop[ \ 1 \ 2.2052272707225205e-06
71 \ iop[] \ 1 \ 2.2052272707225205e-06
72 \ ertyui \ 1 \ 2.2052272707225205e-06
73 \ wertyuiop \ 1 \ 2.2052272707225205e-06

# third keyboard line
1 \ asd \ 281 \ 0.0006196688630730283
2 \ asdf \ 240 \ 0.000529254544973405
3 \ dsa \ 164 \ 0.0003616572723984934
4 \ fgh \ 60 \ 0.00013231363624335125
5 \ asdfgh \ 54 \ 0.00011908227261901612
6 \ asdfghjkl \ 47 \ 0.00010364568172395847
7 \ jkl \ 47 \ 0.00010364568172395847
8 \ lkj \ 41 \ 9.041431809962335e-05
9 \ sdf \ 40 \ 8.820909082890083e-05
10 \ gfd \ 27 \ 5.954113630950806e-05
11 \ asdfg \ 26 \ 5.7335909038785536e-05
12 \ ghj \ 18 \ 3.969409087300537e-05
13 \ kjh \ 15 \ 3.307840906083781e-05
14 \ fdsa \ 15 \ 3.307840906083781e-05
15 \ hjk \ 15 \ 3.307840906083781e-05
16 \ asdfghjk \ 15 \ 3.307840906083781e-05
17 \ dfg \ 15 \ 3.307840906083781e-05
18 \ hgf \ 12 \ 2.646272724867025e-05
19 \ fds \ 10 \ 2.2052272707225208e-05
20 \ asdfghj \ 10 \ 2.2052272707225208e-05
21 \ ASD \ 8 \ 1.7641818165780164e-05
22 \ jhg \ 8 \ 1.7641818165780164e-05
23 \ sdfg \ 7 \ 1.5436590895057645e-05
24 \ FGH \ 6 \ 1.3231363624335125e-05
25 \ lkjhgf \ 6 \ 1.3231363624335125e-05
26 \ ;lkj \ 6 \ 1.3231363624335125e-05
27 \ LKJ \ 5 \ 1.1026136353612604e-05
28 \ lkjhg \ 5 \ 1.1026136353612604e-05
29 \ ghjkl \ 4 \ 8.820909082890082e-06
30 \ DSA \ 3 \ 6.615681812167562e-06
31 \ ASDF \ 3 \ 6.615681812167562e-06
32 \ JKL \ 3 \ 6.615681812167562e-06
33 \ lkjh \ 3 \ 6.615681812167562e-06
34 \ gfdsa \ 3 \ 6.615681812167562e-06
35 \ dfgh \ 3 \ 6.615681812167562e-06
36 \ hgfdsa \ 2 \ 4.410454541445041e-06
37 \ lkjhgfdsa \ 2 \ 4.410454541445041e-06
38 \ sdfghjkl \ 2 \ 4.410454541445041e-06
39 \ fghjkl \ 2 \ 4.410454541445041e-06
40 \ JHG \ 1 \ 2.2052272707225205e-06
41 \ ASDFG \ 1 \ 2.2052272707225205e-06
42 \ GHJ \ 1 \ 2.2052272707225205e-06
43 \ ASDFGH \ 1 \ 2.2052272707225205e-06
44 \ lkjhgfds \ 1 \ 2.2052272707225205e-06
